ID транзакции;Дата и время;TID;ID терминала;Сумма, ₽;Статус
2879675202;2026-08-03 11:19:13.443;E0274563;225754;400,00;Успешная транзакция снятия денег
2879740205;2026-08-03 11:37:48.229;E0274577;245015;400,00;Успешная транзакция снятия денег
2879790816;2026-08-03 11:52:05.279;E0274563;225754;400,00;Успешная транзакция снятия денег
2879818585;2026-08-03 11:59:54.599;E0274571;225745;400,00;Успешная транзакция снятия денег
2879831533;2026-08-03 12:03:24.380;E0274573;245024;400,00;Успешная транзакция снятия денег
2879924302;2026-08-03 12:28:37.560;E0274569;225733;400,00;Успешная транзакция снятия денег
2879965459;2026-08-03 12:39:58.494;E0274560;209091;400,00;Успешная транзакция снятия денег
2880073122;2026-08-03 13:08:31.068;E0274571;225745;400,00;Успешная транзакция снятия денег
2880082499;2026-08-03 13:10:57.663;E0274573;245024;400,00;Успешная транзакция снятия денег
2880107756;2026-08-03 13:17:39.659;E0274566;265772;400,00;Успешная транзакция снятия денег
2880110804;2026-08-03 13:18:26.845;E0274559;209061;400,00;Успешная транзакция снятия денег
2880135424;2026-08-03 13:24:58.920;E0274569;225733;400,00;Успешная транзакция снятия денег
2880170003;2026-08-03 13:34:08.774;E0274577;245015;400,00;Успешная транзакция снятия денег
2880238336;2026-08-03 13:52:47.575;E0274560;209091;400,00;Успешная транзакция снятия денег
2880251000;2026-08-03 13:56:11.648;E0274579;265792;400,00;Успешная транзакция снятия денег
2880263635;2026-08-03 13:59:38.861;E0274579;265792;400,00;Успешная транзакция снятия денег
2880277466;2026-08-03 14:03:19.909;E0274559;209061;400,00;Успешная транзакция снятия денег
2880300255;2026-08-03 14:09:20.610;E0274572;245005;400,00;Успешная транзакция снятия денег
2880327212;2026-08-03 14:16:33.900;E0274560;209091;400,00;Успешная транзакция снятия денег
2880345546;2026-08-03 14:21:39.849;;209091;400,00;Успешная транзакция снятия денег
2880349773;2026-08-03 14:22:50.552;E0274569;225733;400,00;Успешная транзакция снятия денег
2880385588;2026-08-03 14:32:35.400;;225754;400,00;Успешная транзакция снятия денег
2880432861;2026-08-03 14:45:20.413;E0274569;225733;400,00;Успешная транзакция снятия денег
2880444561;2026-08-03 14:48:19.024;E0274578;265732;400,00;Успешная транзакция снятия денег
2880448792;2026-08-03 14:49:26.614;E0274563;225754;400,00;Неуспешная транзакция снятия денег
2880452060;2026-08-03 14:50:17.185;E0274563;225754;400,00;Успешная транзакция снятия денег
2880459494;2026-08-03 14:52:14.527;E0274559;209061;400,00;Успешная транзакция снятия денег
2880469179;2026-08-03 14:54:47.340;E0274578;265732;400,00;Успешная транзакция снятия денег
2880497103;2026-08-03 15:02:01.935;E0274560;209091;400,00;Успешная транзакция снятия денег
2880534322;2026-08-03 15:11:49.950;;209061;400,00;Успешная транзакция снятия денег
2880551365;2026-08-03 15:16:24.919;;209061;400,00;Успешная транзакция снятия денег
2880604367;2026-08-03 15:30:46.354;;225745;400,00;Успешная транзакция снятия денег
2880609497;2026-08-03 15:32:05.314;E0274577;245015;400,00;Успешная транзакция снятия денег
2880649470;2026-08-03 15:42:28.498;E0274571;225745;400,00;Успешная транзакция снятия денег
2880664280;2026-08-03 15:46:26.074;E0274569;225733;400,00;Успешная транзакция снятия денег
2880666630;2026-08-03 15:47:03.304;E0274571;225745;400,00;Успешная транзакция снятия денег
2880687348;2026-08-03 15:52:23.033;E0274571;225745;400,00;Успешная транзакция снятия денег
2880719010;2026-08-03 16:00:33.248;E0274579;265792;400,00;Успешная транзакция снятия денег
2880720043;2026-08-03 16:00:50.357;E0274563;225754;400,00;Успешная транзакция снятия денег
2880722284;2026-08-03 16:01:25.238;E0274559;209061;400,00;Успешная транзакция снятия денег
2880746255;2026-08-03 16:07:32.871;E0274560;209091;400,00;Успешная транзакция снятия денег
2880747730;2026-08-03 16:07:55.290;E0274579;265792;400,00;Успешная транзакция снятия денег
2880781999;2026-08-03 16:16:49.655;E0274566;265772;400,00;Успешная транзакция снятия денег
2880811360;2026-08-03 16:24:26.929;E0274576;245044;400,00;Успешная транзакция снятия денег
2880813613;2026-08-03 16:25:02.877;;209091;400,00;Успешная транзакция снятия денег
2880820821;2026-08-03 16:26:55.299;E0274577;245015;400,00;Успешная транзакция снятия денег
2880850807;2026-08-03 16:34:38.266;E0274571;225745;400,00;Успешная транзакция снятия денег
2880871523;2026-08-03 16:39:54.822;E0274572;245005;400,00;Успешная транзакция снятия денег
2880909910;2026-08-03 16:49:41.358;E0274571;225745;400,00;Успешная транзакция снятия денег
2880912747;2026-08-03 16:50:23.798;E0274578;265732;400,00;Успешная транзакция снятия денег
